0x0	__function_selector__
0x117	name()
0x194	approve(address,uint256)
0x1d4	totalSupply()
0x1ee	transferFrom(address,address,uint256)
0x224	decimals()
0x242	increaseAllowance(address,uint256)
0x26e	balanceOf(address)
0x294	owner()
0x2b8	symbol()
0x2c0	decreaseAllowance(address,uint256)
0x2ec	transfer(address,uint256)
0x318	Swapout(uint256,string)
0x3c5	changeDCRMOwner(address)
0x3eb	allowance(address,address)
0x419	Swapin(bytes32,address,uint256)
0x44b	0x44b
0x60b	0x60b
0x63e	0x63e
0xa50	0xa50
0xa54	0xa54
0xb4a	0xb4a
0xcb1	0xcb1
0xd4b	0xd4b
0xdaf	0xdaf
0x12a5	0x12a5
0x2996	()
0x2996	fallback()
