0x0	0xd
0x60	0x6b
0x3f	0x4a
0xd	0x1e
0x2412	0x2430
0x139	0x145
0xb6	0xc2
0x7a	0x86
0xfd	0x109
0x1d2	0x1de
0x196	0x1a2
0x219	0x225
0x76e	0x77a
0x295d	0x296e
0x2785	0x2797
0x1cf3	0x1cff
0x79a	0x7b3
0x7ca	0x7e8
0xcd	0xd8
0x867	0x87d
0x881	0x88c
0x9a8	0x9b8
0x9d0	0x9d5
0xa02	0xa41
0xa42	0xa4c
0xa4d	0xa99
0xd8	0xe3
0xa9a	0xaa1
0xab1	0xab6
0xaf2	0xaff
0x1f4e	0x1f59
0xb16	0xb58
0xc2f	0xc34
0xcff	0xd0e
0xf88	0xf97
0x12c3	0x12d2
0x12e9	0x1310
0x1a6e	0x1a73
0x1d47	0x1d4e
0x1d65	0x1d83
0x1e04	0x1e19
0x1e1d	0x1e28
0x1ea2	0x1eb1
0x1ec8	0x1ed7
0x1f8e	0x1f94
0x2089	0x208f
0x2104	0x210a
0x2112	0x2117
0x212e	0x2141
0x216b	0x217b
0x21bf	0x21c5
0x21cd	0x21d2
0x21e9	0x21fc
0x23bc	0x23cd
0x23d5	0x23db
0x23e3	0x23e8
0x23ff	0x2412
0x25c7	0x25cd
0x25d5	0x25da
0x25f1	0x2604
0x2626	0x267b
0x1e	0x29
0x26b	0x273
0x28b	0x293
0x2ab	0x2b3
0x2e1	0x2e9
0x301	0x309
0x316	0x31e
0x336	0x33e
0x356	0x35e
0x376	0x37e
0x3a3	0x3ab
0x3c3	0x3cb
0x3f0	0x3f8
0x405	0x40d
0x425	0x42d
0x43a	0x442
0x45a	0x462
0x46f	0x477
0x491	0x499
0x4b1	0x4b9
0x4d1	0x4d9
0x4e6	0x4ee
0x506	0x50e
0x51b	0x523
0x53d	0x545
0x552	0x55a
0x567	0x56f
0x587	0x58f
0x5b4	0x5bc
0x5d4	0x5dc
0x5f4	0x5fc
0x614	0x61c
0x634	0x63c
0x654	0x65c
0x674	0x67c
0x694	0x69c
0x6b6	0x6be
0x6d6	0x6de
0x6f8	0x700
0x726	0x72e
0x74e	0x756
0x25ae	0x25bf
0x20eb	0x20fc
0x21a6	0x21b7
0x2268	0x2279
0x29	0x34
0x22ad	0x22c7
0x34	0x3f
0x4a	0x55
0x55	0x60
0x6b	0x76
0x86	0x91
0x91	0x9c
0x9c	0xa7
0xa7	0xb2
0xc2	0xcd
0xe3	0xee
0xee	0xf9
0x109	0x114
0x114	0x11f
0x11f	0x12a
0x12a	0x135
0x145	0x150
0x150	0x15b
0x15b	0x166
0x166	0x171
0x171	0x17c
0x17c	0x187
0x187	0x192
0x1a2	0x1ad
0x1ad	0x1b8
0x1b8	0x1c3
0x1c3	0x1ce
0x1de	0x1e9
0x1e9	0x1f4
0x1f4	0x1ff
0x1ff	0x20a
0x20a	0x215
0x225	0x230
0x230	0x23b
0x23b	0x246
0x246	0x251
0xaa1	0xaae
0x21920x20eb	0x21990x20eb
0x21920x21a6	0x21990x21a6
0x21920x23bc	0x21990x23bc
0x282eB0x2b7	0x283cB0x2b7
0x2896B0x342	0x28a4B0x342
0x28a7B0x342	0x28baB0x342
0x2875B0x4bd	0x2884B0x4bd
0x282eB0x5c0	0x283cB0x5c0
0x282eB0x620	0x283cB0x620
0x34beB0x336f	0x34c7B0x336f
0x2875B0x1d16	0x2884B0x1d16
0x34c8B0x279a	0x34d9B0x279a
0x34c8B0x27a5	0x34d9B0x27a5
0x34c8B0x27b5	0x34d9B0x27b5
0x2725B0x2971	0x2732B0x2971
0x270eB0x297b	0x2721B0x297b
0x2812B0x277	0x2820B0x277
0x34ddB0x2823B0x277	0x34e7B0x2823B0x277
0x2846B0x2ed	0x2855B0x2ed
0x34c8B0x2858B0x2ed	0x34d9B0x2858B0x2ed
0x2846B0x322	0x2855B0x322
0x34c8B0x2858B0x322	0x34d9B0x2858B0x322
0x2adaB0x362	0x2aecB0x362
0x2b0aB0x362	0x2b22B0x362
0x2b25B0x362	0x2b3bB0x362
0x3500B0x2aefB0x362	0x350bB0x2aefB0x362
0x3500B0x2afaB0x362	0x350bB0x2afaB0x362
0x28bdB0x382	0x28cbB0x382
0x2725B0x28ceB0x382	0x2732B0x28ceB0x382
0x2846B0x3af	0x2855B0x3af
0x34c8B0x2858B0x3af	0x34d9B0x2858B0x3af
0x2736B0x3cf	0x2744B0x3cf
0x26b1B0x2747B0x3cf	0x26c4B0x2747B0x3cf
0x2736B0x411	0x2744B0x411
0x26b1B0x2747B0x411	0x26c4B0x2747B0x411
0x1011B0x455	0x1020B0x455
0x1067B0x455	0x107dB0x455
0x1081B0x455	0x108cB0x455
0x28bdB0x49d	0x28cbB0x49d
0x2725B0x28ceB0x49d	0x2732B0x28ceB0x49d
0x243dB0x114fB0x4cc	0x2449B0x114fB0x4cc
0x2460B0x114fB0x4cc	0x246eB0x114fB0x4cc
0x2846B0x4f2	0x2855B0x4f2
0x34c8B0x2858B0x4f2	0x34d9B0x2858B0x4f2
0x27d5B0x573	0x27e6B0x573
0x26b1B0x27e9B0x573	0x26c4B0x27e9B0x573
0x26b1B0x27f3B0x573	0x26c4B0x27f3B0x573
0x2930B0x593	0x293fB0x593
0x3500B0x2942B0x593	0x350bB0x2942B0x593
0x34ebB0x294dB0x593	0x34fcB0x294dB0x593
0x2930B0x5e0	0x293fB0x5e0
0x3500B0x2942B0x5e0	0x350bB0x2942B0x5e0
0x34ebB0x294dB0x5e0	0x34fcB0x294dB0x5e0
0x29e9B0x600	0x29fdB0x600
0x2a1bB0x600	0x2a39B0x600
0x3500B0x2a00B0x600	0x350bB0x2a00B0x600
0x34ebB0x2a0bB0x600	0x34fcB0x2a0bB0x600
0x26d9B0x2a3cB0x600	0x26ecB0x2a3cB0x600
0x26efB0x2a3cB0x600	0x2703B0x2a3cB0x600
0x26c8B0x2a3cB0x600	0x26d6B0x2a3cB0x600
0x2a59B0x640	0x2a6eB0x640
0x2a8bB0x640	0x2aa9B0x640
0x2725B0x2a71B0x640	0x2732B0x2a71B0x640
0x34ebB0x2a7bB0x640	0x34fcB0x2a7bB0x640
0x26d9B0x2aacB0x640	0x26ecB0x2aacB0x640
0x26efB0x2aacB0x640	0x2703B0x2aacB0x640
