0xc59	0xca2
0xff8	0x1095
0x109f	0x10b8
0x10bd	0x10bd
0x11b1	0x126c
0x1275	0x1275
0x1c2e	0x1cd9
0x1f4a	0x1f4a
0x1f4e	0x1f70
0x1f76	0x1f9b
0x1fdf	0x206c
0x2071	0x2096
0x20da	0x20e5
0x2245	0x225f
0x2268	0x22a3
0x23bc	0x2430
0x2482	0x2482
0x25ae	0x267b
0x2688	0x2688
0x26c8	0x2707
0x2751	0x277c
0x27d5	0x2809
0x282e	0x283f
0x2875	0x2887
0x28d8	0x2924
0x299a	0x29de
0x29e9	0x2a48
0x2a59	0x2acc
0x2ada	0x2b3e
0x2b49	0x2b49
0x2b73	0x2b73
0x2bbb	0x2bbb
0x2bf3	0x2bf3
0x2bfe	0x2bfe
0x2c1e	0x2c49
0x2c53	0x2c6d
0x2d3a	0x2d3a
0x303c	0x303c
0x308a	0x308a
0x30f8	0x30f8
0x3269	0x3269
0x32f2	0x32f2
0x340f	0x340f
0x341d	0x344f
0x345a	0x347c
0x8ea	0x39881
0xd4f	0x4733a
0xe92	0x47360
0x114f	0x62627
0x1174	0x6264d
0x135b	0x62763
0x135b	0x627d9
0x135b	0x62803
0x17ae	0x6282d
0x17c5	0x628ca
0x1b81	0x702ca
0x1f76	0x703e1
0x2071	0x7042c
0x2224	0x704e9
0x2230	0x7050f
0x2268	0x70535
0x22ad	0x70559
0x22de	0x705a7
0x22e9	0x705cc
0x230e	0x7061a
0x2323	0x70640
0x23bc	0x706b6
0x249e	0x70700
0x249e	0x70725
0x24e8	0x7074a
0x24e8	0x7076f
0x25ae	0x707bc
0x26b1	0x707de
0x270e	0x70803
0x2725	0x70828
0x2736	0x7084d
0x2812	0x70873
0x2846	0x70899
0x2896	0x708c3
0x28bd	0x708e9
0x2930	0x7090f
0x348e	0x70939
0x34be	0x7095e
0x34c8	0x70980
0x34dd	0x709a2
0x34eb	0x709c4
0x3500	0x709e6
0xbf9	0x70a2a
0xd4f	0x70a4e
0xe65	0x70a74
0x17c5	0x70a99
0x348e	0x70ac0
0x8ea	0x70d65
0xeb5	0x70d87
0x10cc	0x70da9
0x1a8a	0x70dcb
0x20eb	0x21990x20eb
0x21a6	0x21990x21a6
0x233e	0x21990x233e
0x23bc	0x21990x23bc
0xc11	0x472540xc11
0xc4b	0x472540xc4b
0xca4	0x472c70xca4
0x1a50	0x472c70x1a50
0x20eb	0x7049f0x20eb
0x21a6	0x7049f0x21a6
0x233e	0x7049f0x233e
0x23bc	0x7049f0x23bc
