0x256	0x5e2ca17
0x26b	0x16c38b3c
0x28b	0x17f03ce5
0x2ab	0x248a9ca3
0x2e1	0x2f2ff15d
0x301	0x35faa416
0x316	0x36568abe
0x336	0x3687f24a
0x356	0x498bbede
0x376	0x4b0b919d
0x3a3	0x4e0df3f6
0x3c3	0x541d5548
0x3f0	0x5c975abb
0x405	0x60f0a5ac
0x425	0x715018a6
0x43a	0x7ca21e54
0x45a	0x862159ab
0x46f	0x8da5cb5b
0x491	0x8dcf4200
0x4b1	0x9010d07c
0x4d1	0x91b4ded9
0x4e6	0x91d14854
0x506	0x926d7d7f
0x51b	0x949fcf0e
0x53d	0x9debb3bd
0x552	0xa217fddf
0x567	0xa737be4f
0x587	0xab6d8266
0x5b4	0xacc1b42e
0x5d4	0xbedeed5e
0x5f4	0xc0331b3e
0x614	0xca15c873
0x634	0xd28ba851
0x654	0xd547741f
0x674	0xdd39f00d
0x694	0xddca3f43
0x6b6	0xdf0fc133
0x6d6	0xe184c9be
0x6f8	0xebbcdb98
0x726	0xf0e9b0b8
0x73b	0xf179637c
0x74e	0xf2fde38b
0x6b10	0x00000000
