0xaa1	0xabd
0xe45	0xe9d
0x107b	0x1149
0x13bb	0x1465
0x146d	0x1502
0x15ab	0x16b7
0x16f0	0x1766
0x176d	0x179d
0x1929	0x1958
0x1977	0x19aa
0x19df	0x1a03
0x1a0b	0x1a2a
0x1a3e	0x1a5a
0x1aa4	0x1ab6
0x1ad8	0x1b19
0x1b25	0x1b33
0x1ba2	0x1ba2
0x1bd9	0x1c0d
0x1c29	0x1c3b
0x1c40	0x1c40
0x1c8f	0x1ca2
0x1ca7	0x1ca7
0x1cde	0x1cf0
0x5b0	0x9c3b7
0x5f9	0x9c3de
0x9d4	0x9c4ed
0xf7e	0x9c73b
0x153a	0x9c878
0x156e	0x9c89d
0x156e	0x9c8c2
0x1929	0x9c8e7
0x1960	0x9c90e
0x19b3	0x9c932
0x19df	0x9c95a
0x1abd	0x9c9ae
0x1b36	0x9c9d4
0x1b53	0x9c9fa
0x1d13	0x9ca51
0xb04	0xb31cd
0x69b	0x6f60x69b
0xbc9	0x6f60xbc9
0xea7	0xf6c0xea7
0x11ca	0xf6c0x11ca
0x60d	0x9c44f0x60d
0xdff	0x9c44f0xdff
0x60d	0x9c4760x60d
0xdff	0x9c4760xdff
0xd94	0x9c6520xd94
0xfbf	0x9c6520xfbf
0x60d	0xb31a60x60d
0xdff	0xb31a60xdff
