0x25c	0x00000000
0x261	0x39d6ec
0x287	0xf714ce
0x29a	0x6fdde03
0x2af	0x95ea7b3
0x2d2	0xd707df8
0x2dc	0x18160ddd
0x2e4	0x23b872dd
0x2f7	0x2e1a7d4d
0x30a	0x2ebe3fbb
0x31d	0x313ce567
0x356	0x3ccfd60b
0x35e	0x40c10f19
0x371	0x52113ba7
0x39c	0x60e232a9
0x3af	0x628d6cba
0x3c2	0x6817031b
0x3d5	0x69b41170
0x3df	0x6e553f65
0x3f2	0x6f307dc3
0x419	0x70a08231
0x439	0x8623ec7b
0x44c	0x87689e28
0x466	0x91c5df49
0x479	0x95d89b41
0x481	0x9dc29fac
0x494	0xa045442c
0x4a9	0xa9059cbb
0x4bc	0xaa271e1a
0x4df	0xb6b55f25
0x4f2	0xbebbf4d0
0x505	0xc3081240
0x50e	0xc4b740f5
0x521	0xcfbd4885
0x534	0xd0e30db0
0x53c	0xd6c79751
0x544	0xd93f2445
0x54c	0xdd62ed3e
0x577	0xec126c77
0x58a	0xfbfa77cf
0x59d	0xfca3b5aa
0x33770	0xf75c2664
0x337a0	0x8da5cb5b
