0x0	0x0
0xc	0xc
0x1a	0x1a
0x83	0x83
0xbf	0xbf
0x106	0x106
0x142	0x142
0x19f	0x19f
0x1db	0x1db
0x222	0x222
0x5c6	0x5c6
0x71a	0x71a
0x752	0x752
0x7fe	0x7fe
0x813	0x813
0x848	0x848
0x930	0x930
0x9fa	0x9fa
0xa1c	0xa1c
0xada	0xada
0xb1a	0xb1a
0xb40	0xb40
0xbdd	0xbdd
0xc33	0xc33
0xc96	0xc96
0xd29	0xd29
0xd4f	0xd4f
0xde1	0xde1
0xe24	0xe24
0xe6f	0xe6f
0xecf	0xecf
0xeec	0xeec
0xfd5	0xfd5
0xfff	0xfff
0x1043	0x1043
0x10db	0x10db
0x1162	0x1162
0x119a	0x119a
0x11e2	0x11e2
0x1289	0x1289
0x12bf	0x12bf
0x1350	0x1350
0x1376	0x1376
0x1423	0x1423
0x147c	0x147c
0x15ba	0x15ba
0x162d	0x162d
0x1758	0x1758
0x17b9	0x17b9
0x1837	0x1837
0x1868	0x1868
0x18cf	0x18cf
0x1973	0x1973
0x1988	0x1988
0x19c2	0x19c2
0x1a4d	0x1a4d
0x1a79	0x1a79
0x1ab2	0x1ab2
0x1acb	0x1acb
0x1b2f	0x1b2f
0x1b44	0x1b44
0x1b62	0x1b62
0x1b8e	0x1b8e
0x1be7	0x1be7
0x1bf8	0x1bf8
0x1c34	0x1c34
0x1c9b	0x1c9b
0x1cec	0x1cec
0x1d21	0x1d21
0x6550x60d	0x6550x60d
0x6550xdff	0x6550xdff
