0x0	0x80
0x8	0x10
0x2	0x40
0xc	0x0
0x12	0x4
0x1a	0x0
0x1d	0xe0
0x21	0x87689e28
0x27	0x146
0x2c	0xc3081240
0x32	0xc3
0x37	0xd93f2445
0x3d	0x87
0x42	0xd93f2445
0x4d	0xdd62ed3e
0x58	0xec126c77
0x63	0xf75c2664
0x6e	0xfbfa77cf
0x79	0xfca3b5aa
0x83	0x0
0x89	0xc3081240
0x94	0xc4b740f5
0x9f	0xcfbd4885
0xaa	0xd0e30db0
0xb5	0xd6c79751
0xbf	0x0
0xc5	0xa045442c
0xcb	0x10a
0xd0	0xa045442c
0xdb	0xa9059cbb
0xe6	0xaa271e1a
0xf1	0xb6b55f25
0xfc	0xbebbf4d0
0x106	0x0
0x10c	0x87689e28
0x117	0x8da5cb5b
0x122	0x91c5df49
0x12d	0x95d89b41
0x138	0x9dc29fac
0x142	0x0
0x148	0x3ccfd60b
0x14e	0x1df
0x153	0x6817031b
0x159	0x1a3
0x15e	0x6817031b
0x169	0x69b41170
0x174	0x6e553f65
0x17f	0x6f307dc3
0x18a	0x70a08231
0x195	0x8623ec7b
0x19f	0x0
0x1a5	0x3ccfd60b
0x1b0	0x40c10f19
0x1bb	0x52113ba7
0x1c6	0x60e232a9
0x1d1	0x628d6cba
0x1db	0x0
0x1e1	0x18160ddd
0x1e7	0x226
0x1ec	0x18160ddd
0x1f7	0x23b872dd
0x202	0x2e1a7d4d
0x20d	0x2ebe3fbb
0x218	0x313ce567
0x222	0x0
0x228	0x39d6ec
0x232	0xf714ce
0x23c	0x6fdde03
0x247	0x95ea7b3
0x252	0xd707df8
0x25d	0x0
0x262	0x337d0
0x265	0x26f
0x269	0x4
0x26b	0x1977
0x270	0x5b0
0x288	0x3af24
0x28b	0x295
0x28f	0x4
0x291	0x19b3
0x296	0x5f9
0x29b	0x42678
0x29e	0x60d
0x2b0	0x426cc
0x2b3	0x2bd
0x2b7	0x4
0x2b9	0x1a3e
0x2be	0x69b
0x2d3	0x42723
0x2d6	0x707
0x2dd	0x3
0x2e0	0x42744
0x2e5	0x49e98
0x2e8	0x2f2
0x2ec	0x4
0x2ee	0x1a68
0x2f3	0x7d6
