0x0	__function_selector__
0x75	vaultAllowance(address,address)
0xc0	transferAllowance(address,address,address,uint256,string)
0xe2	deposit(address,address,uint256,string)
0xf5	0x2923e82e
0x108	0x48f1651d
0x11b	transferOut(address,address,uint256,string)
0x12e	RUNE()
0x166	0x166
0x3f2	0x3f2
0x5af	0x5af
0x884	0x884
0x9aa	0x9aa
0xb8a	0xb8a
0xbf1	0xbf1
0xc7a	0xc7a
0xce5	0xce5
0xd4f	0xd4f
0xd87	0xd87
0xe01	0xe01
0xe7e	0xe7e
0xf64	0xf64
0xf8b	0xf8b
0xfa3	0xfa3
0xfcf	0xfcf
0xfeb	0xfeb
0x101e	0x101e
0x104e	0x104e
0x10b9	0x10b9
0x10da	0x10da
0x110b	0x110b
0x112f	0x112f
0x1147	0x1147
0x115e	0x115e
0x118a	0x118a
0x11d1	0x11d1
0x245c	()
0x245c	fallback()
