0x0	0xd
0x3f	0x4a
0xd	0x1e
0x4e	0x5a
0x1ea	0x1fb
0x253	0x26a
0x2b6	0x2c1
0x2ee	0x331
0x335	0x340
0x9aa	0x9ea
0x112f	0x113b
0x1147	0x1152
0x9ee	0x9f9
0xa88	0xaa4
0xaca	0xad7
0xaf4	0xaf9
0xafd	0xb3a
0xb3e	0xb49
0x75	0x7d
0xc0	0xc8
0x12e	0x136
0x118a	0x1197
0x5a	0x65
0x1e	0x29
0x29	0x34
0x34	0x3f
0x65	0x70
0x1fb	0x225
0x26a	0x2b2
0xad7	0xae0
0x98b0x884	0x9960x884
0x9710x884	0x9870x884
0x9060x884	0x9110x884
0x8b70x884	0x9020x884
0x77b0x11b	0x7970x11b
0x6940x11b	0x6be0x11b
0x6830x11b	0x6940x11b
0xf64B0x2ca	0xf72B0x2ca
0xf75B0x2ca	0xf81B0x2ca
0xf8bB0xa02	0xf99B0xa02
0xf8bB0xb52	0xf99B0xb52
0xf64B0xae0	0xf72B0xae0
0xf75B0xae0	0xf81B0xae0
0xf64B0x91a0x884	0xf72B0x91a0x884
0xf75B0x91a0x884	0xf81B0x91a0x884
0xd4fB0x81	0xd5eB0x81
0x11d1B0xd61B0x81	0x11e2B0xd61B0x81
0x11d1B0xd6cB0x81	0x11e2B0xd6cB0x81
0x1179B0xfcfB0xa26	0x1182B0xfcfB0xa26
0x1161B0xfcfB0xa26	0x116aB0xfcfB0xa26
0x1179B0xfcfB0x71f0x11b	0x1182B0xfcfB0x71f0x11b
0x1161B0xfcfB0x71f0x11b	0x116aB0xfcfB0x71f0x11b
0xe01B0xcc	0xe15B0xcc
0xe43B0xcc	0xe62B0xcc
0x11d1B0xe18B0xcc	0x11e2B0xe18B0xcc
0x11d1B0xe23B0xcc	0x11e2B0xe23B0xcc
0x11d1B0xe33B0xcc	0x11e2B0xe33B0xcc
0xc7aB0xe65B0xcc	0xc87B0xe65B0xcc
0xc8aB0xe65B0xcc	0xc9dB0xe65B0xcc
0xcb7B0xe65B0xcc	0xcc8B0xe65B0xcc
0x10daB0xca4B0xe65B0xcc	0x10fcB0xca4B0xe65B0xcc
0x1179B0xfa3B0x10b9B0x39e	0x1182B0xfa3B0x10b9B0x39e
0x1161B0xfa3B0x10b9B0x39e	0x116aB0xfa3B0x10b9B0x39e
0xce5B0xe2	0xcf7B0xe2
0xd15B0xe2	0xd34B0xe2
0x11d1B0xcfaB0xe2	0x11e2B0xcfaB0xe2
0x11d1B0xd05B0xe2	0x11e2B0xd05B0xe2
0xc7aB0xd37B0xe2	0xc87B0xd37B0xe2
0xc8aB0xd37B0xe2	0xc9dB0xd37B0xe2
0xcb7B0xd37B0xe2	0xcc8B0xd37B0xe2
0x10daB0xca4B0xd37B0xe2	0x10fcB0xca4B0xd37B0xe2
0xce5B0x11b	0xcf7B0x11b
0xd15B0x11b	0xd34B0x11b
0x11d1B0xcfaB0x11b	0x11e2B0xcfaB0x11b
0x11d1B0xd05B0x11b	0x11e2B0xd05B0x11b
0xc7aB0xd37B0x11b	0xc87B0xd37B0x11b
0xc8aB0xd37B0x11b	0xc9dB0xd37B0x11b
0xcb7B0xd37B0x11b	0xcc8B0xd37B0x11b
