0x1a	0x4e
0x4a	0x2480
0x79	0x81
0x83	0xad
0x86	0x90
0xc4	0xcc
0xce	0x1eba8
0xd1	0xdb
0xe3	0x1ebc9
0xe6	0xf0
0xf1	0x1ea
0xf6	0x1ebea
0xf9	0x103
0x109	0x1ec0b
0x10c	0x116
0x11c	0x1ec2c
0x11f	0x129
0x12a	0x6830x11b
0x132	0x13a
0x162	0xb70x12e
0x1f7	0x253
0x221	0x246
0x242	0x24b
0x24f	0x39e
0x266	0x352
0x2ae	0x2b6
0x2bd	0x2ca
0x2e5	0x2ee
0x32d	0x335
0x33c	0x349
0x34e	0x39e
0x353	0x35c
0x38e	0x398
0x3d9	0x1ec99
0x8ad	0x8b70x884
0x9e6	0x9ee
0x9f5	0xa02
0xa1d	0xa26
0xa7f	0xa88
0xaa0	0xac5
0xac1	0xaca
0xad3	0xaf4
0xadc	0xaf4
0xaeb	0xaf4
0xaf5	0xafd
0xb36	0xb3e
0xb45	0xb52
0xb6d	0xb76
0xb77	0x1ed42
0x1137	0x1142
0x113e	0x2543
0x114e	0x1159
0x1155	0x2578
0x1193	0x119e
0x119a	0x25ad
0x4ba4	0xb70x75
0x55a4	0x14e
0x5fa4	0x24b
0x69a4	0x39e
0xc3a4	0xaca
0x3ddd6	0x473d6
0x3e7d6	0x44bd6
0x3f1d6	0x455d6
0x3fbd6	0x45fd6
0x405d6	0x469d6
0x40fd6	0x42dd6
0x419d6	0x437d6
0x423d6	0x441d6
0x11b0xb9a4	0x7c40x11b
0x11b0xafa4	0x7bd0x11b
0x11b0xa5a4	0x6e40x11b
0x8840x992	0x99f0x884
0x8840x983	0x98b0x884
0x8840x95e	0x9710x884
0x8840x935	0x93e0x884
0x8840x90d	0x91a0x884
0x8840x8fe	0x9060x884
0x11b0x800	0x1ed140x11b
0x11b0x7b4	0x7bd0x11b
0x11b0x793	0x7b80x11b
0x11b0x772	0x77b0x11b
0x11b0x715	0x71f0x11b
0x11b0x6e8	0x7c40x11b
0x11b0x6db	0x6e40x11b
0x11b0x6ba	0x6df0x11b
0x11b0x690	0x6ec0x11b
0xf6eV0x2ca	0xf75B0x2ca
0xf7dV0x2ca	0xf84B0x2ca
0xf95V0xa02	0xf9cB0xa02
0xf95V0xb52	0xf9cB0xb52
0xf6eV0xae0	0xf75B0xae0
0xf7dV0xae0	0xf84B0xae0
0xf6eV0x91a0x884	0xf75B0x91a0x884
0xf7dV0x91a0x884	0xf84B0x91a0x884
0xd5aV0x81	0xd61B0x81
0xd64V0x81	0xd6cB0x81
0xd74V0x81	0xd7cB0x81
0x11deV0xd61V0x81	0x11e6B0xd61B0x81
0x11deV0xd6cV0x81	0x11e6B0xd6cB0x81
0xfd4V0xa26	0xfe1B0xa26
0xf5a4V0xfcfV0xa26	0x1161B0xfcfB0xa26
0x117eV0xfcfV0xa26	0x1eeaeB0xfcfB0xa26
0x1166V0xfcfV0xa26	0x1179B0xfcfB0xa26
0x1175V0xfcfV0xa26	0x1161B0xfcfB0xa26
0xfd4V0x71f0x11b	0xfe1B0x71f0x11b
0xf5a4V0xfcfV0x71f0x11b	0x1161B0xfcfB0x71f0x11b
0x117eV0xfcfV0x71f0x11b	0x1eeaeB0xfcfB0x71f0x11b
0x1166V0xfcfV0x71f0x11b	0x1179B0xfcfB0x71f0x11b
0x1175V0xfcfV0x71f0x11b	0x1161B0xfcfB0x71f0x11b
0xe11V0xcc	0xe18B0xcc
0xe1bV0xcc	0xe23B0xcc
0xe2bV0xcc	0xe33B0xcc
0xe3bV0xcc	0xe43B0xcc
0xe5eV0xcc	0xe65B0xcc
0xe66V0xcc	0xe71B0xcc
0x11deV0xe18V0xcc	0x11e6B0xe18B0xcc
0x11deV0xe23V0xcc	0x11e6B0xe23B0xcc
0x11deV0xe33V0xcc	0x11e6B0xe33B0xcc
0xca0V0xe65V0xcc	0x24a4B0xe65B0xcc
0xc83V0xe65V0xcc	0xc8aB0xe65B0xcc
0xc99V0xe65V0xcc	0xca4B0xe65B0xcc
0xca5V0xe65V0xcc	0xcb7B0xe65B0xcc
0xcc4V0xe65V0xcc	0xccbB0xe65B0xcc
0x10ffV0xca4V0xe65V0xcc	0x24d9B0xca4B0xe65B0xcc
0x10f8V0xca4V0xe65V0xcc	0x1103B0xca4B0xe65B0xcc
0x10c6V0x39e	0x10d2B0x39e
0xfabV0x10b9V0x39e	0xfbbB0x10b9B0x39e
0xf5a4V0xfa3V0x10b9V0x39e	0x1161B0xfa3B0x10b9B0x39e
0x117eV0xfa3V0x10b9V0x39e	0x1eeaeB0xfa3B0x10b9B0x39e
