0x0	0xd
0x60	0x6b
0x3f	0x4a
0xd	0x1e
0xab	0xb7
0x6f	0x7b
0xfd	0x109
0x1348	0x135e
0xd45	0xdaf
0xe6a	0xe7e
0xe82	0xe8d
0xeba	0xec2
0xfbc	0xfef
0xf1e	0xf4b
0xf4c	0xf75
0xf0a	0xf13
0x1040	0x1068
0x1069	0x1080
0x1081	0x1098
0x10c2	0x10db
0x10e4	0x1126
0x1160	0x116b
0x116c	0x11ab
0x11e5	0x11f3
0xeff	0xf08
0x1367	0x136d
0x137d	0x1382
0x13bc	0x13d7
0x1455	0x1563
0x1567	0x1572
0x15c7	0x15ea
0x17a7	0x17bb
0x17bf	0x17ca
0x17f7	0x17ff
0x18b6	0x18ca
0x18ce	0x18d9
0x1906	0x193e
0x1963	0x19a0
0x1aa2	0x1aa8
0x1ab8	0x1abd
0x1af7	0x1b12
0x1b47	0x1b4e
0x1e	0x29
0x1fdc	0x1fe9
0x13a	0x142
0x165	0x16d
0x1a2	0x1aa
0x1cd	0x1d5
0x20a	0x212
0x235	0x23d
0x2a2	0x2aa
0x2cd	0x2d5
0x2f6	0x2fe
0x321	0x329
0x35e	0x366
0x39b	0x3a3
0x408	0x410
0x433	0x43b
0x48c	0x494
0x4b5	0x4bd
0x4e0	0x4e8
0x50b	0x513
0x536	0x53e
0x1c5b	0x1c6c
0x1a83	0x1a99
0x2037	0x2071
0x29	0x34
0x34	0x3f
0x4a	0x55
0x55	0x60
0x7b	0x86
0x86	0x91
0x91	0x9c
0x9c	0xa7
0xb7	0xc2
0xc2	0xcd
0xcd	0xd8
0xd8	0xe3
0xe3	0xee
0xee	0xf9
0x109	0x114
0x114	0x11f
0x11f	0x12a
0x12a	0x135
0xf13	0xf1d
0xa830x39b	0xadb0x39b
0x3161B0x276eB0x1fe9	0x316aB0x276eB0x1fe9
0x3146B0x276eB0x1fe9	0x314fB0x276eB0x1fe9
0x26b9B0x2c54B0x1f4	0x26c2B0x2c54B0x1f4
0x26b9B0x2c54B0x45a	0x26c2B0x2c54B0x45a
0x252bB0xe96	0x2539B0xe96
0x31dfB0x2327B0x253dB0xe96	0x31e6B0x2327B0x253dB0xe96
0x24eaB0x157b	0x24f8B0x157b
0x24fcB0x157b	0x2512B0x157b
0x226eB0x2516B0x157b	0x2286B0x2516B0x157b
0x3042B0x2516B0x157b	0x3055B0x2516B0x157b
0x224aB0x2516B0x157b	0x2257B0x2516B0x157b
0x2f9dB0x2269B0x2516B0x157b	0x2fbcB0x2269B0x2516B0x157b
0x3161B0x228aB0x2516B0x157b	0x316aB0x228aB0x2516B0x157b
0x3146B0x228aB0x2516B0x157b	0x314fB0x228aB0x2516B0x157b
0x252bB0x17d3	0x2539B0x17d3
0x31dfB0x2327B0x253dB0x17d3	0x31e6B0x2327B0x253dB0x17d3
0x252bB0x18e2	0x2539B0x18e2
0x31dfB0x2327B0x253dB0x18e2	0x31e6B0x2327B0x253dB0x18e2
0x2351B0x171	0x235fB0x171
0x319aB0x2082B0x2363B0x171	0x31a1B0x2082B0x2363B0x171
0x2590B0x241	0x25a1B0x241
0x31dfB0x2312B0x25a5B0x241	0x31e6B0x2312B0x25a5B0x241
0x31dfB0x2312B0x25c4B0x241	0x31e6B0x2312B0x25c4B0x241
0x319aB0x2082B0x25b3B0x241	0x31a1B0x2082B0x25b3B0x241
0x237aB0x2d9	0x2389B0x2d9
0x319aB0x2082B0x238dB0x2d9	0x31a1B0x2082B0x238dB0x2d9
0x319aB0x2082B0x239bB0x2d9	0x31a1B0x2082B0x239bB0x2d9
0x23b6B0x32d	0x23c5B0x32d
0x31dfB0x2312B0x23d7B0x32d	0x31e6B0x2312B0x23d7B0x32d
0x319aB0x2082B0x23c9B0x32d	0x31a1B0x2082B0x23c9B0x32d
0x2590B0x36a	0x25a1B0x36a
0x31dfB0x2312B0x25a5B0x36a	0x31e6B0x2312B0x25a5B0x36a
0x31dfB0x2312B0x25c4B0x36a	0x31e6B0x2312B0x25c4B0x36a
0x319aB0x2082B0x25b3B0x36a	0x31a1B0x2082B0x25b3B0x36a
0x23b6B0x3a7	0x23c5B0x3a7
0x31dfB0x2312B0x23d7B0x3a7	0x31e6B0x2312B0x23d7B0x3a7
0x319aB0x2082B0x23c9B0x3a7	0x31a1B0x2082B0x23c9B0x3a7
0x237aB0x498	0x2389B0x498
0x319aB0x2082B0x238dB0x498	0x31a1B0x2082B0x238dB0x498
0x319aB0x2082B0x239bB0x498	0x31a1B0x2082B0x239bB0x498
0x168cB0x4ec	0x16a0B0x4ec
0x16a4B0x4ec	0x16afB0x4ec
0x252bB0x16b8B0x4ec	0x2539B0x16b8B0x4ec
0x31dfB0x2327B0x253dB0x16b8B0x4ec	0x31e6B0x2327B0x253dB0x16b8B0x4ec
0x2554B0x542	0x2563B0x542
0x31dfB0x2312B0x2567B0x542	0x31e6B0x2312B0x2567B0x542
0x319aB0x2082B0x2575B0x542	0x31a1B0x2082B0x2575B0x542
0x23f2B0x272	0x2404B0x272
0x31dfB0x2312B0x2416B0x272	0x31e6B0x2312B0x2416B0x272
0x31dfB0x2312B0x2438B0x272	0x31e6B0x2312B0x2438B0x272
0x319aB0x2082B0x2408B0x272	0x31a1B0x2082B0x2408B0x272
0x319aB0x2082B0x2427B0x272	0x31a1B0x2082B0x2427B0x272
0x2590B0x3d8	0x25a1B0x3d8
0x31dfB0x2312B0x25a5B0x3d8	0x31e6B0x2312B0x25a5B0x3d8
0x31dfB0x2312B0x25c4B0x3d8	0x31e6B0x2312B0x25c4B0x3d8
0x319aB0x2082B0x25b3B0x3d8	0x31a1B0x2082B0x25b3B0x3d8
0x2455B0x1d9	0x2464B0x1d9
0x2468B0x1d9	0x247eB0x1d9
0x248eB0x1d9	0x24a7B0x1d9
0x21c1B0x24abB0x1d9	0x21e2B0x24abB0x1d9
0x301aB0x24abB0x1d9	0x302dB0x24abB0x1d9
0x21e9B0x24abB0x1d9	0x21f2B0x24abB0x1d9
0x219dB0x24abB0x1d9	0x21aaB0x24abB0x1d9
0x2f9dB0x21bcB0x24abB0x1d9	0x2fbcB0x21bcB0x24abB0x1d9
0x31dfB0x2312B0x21f2B0x24abB0x1d9	0x31e6B0x2312B0x21f2B0x24abB0x1d9
