0x5b7	0x6a8
0x705	0x840
0xc03	0xc18
0xc45	0xd36
0x162f	0x16dc
0x172c	0x1a0e
0x1a19	0x1a68
0x1a6c	0x1a6c
0x1c5b	0x1ca6
0x1cb0	0x1cb0
0x1cb8	0x1d05
0x1d09	0x1d09
0x1d11	0x1d94
0x1d9a	0x1ddc
0x1de4	0x1e65
0x2082	0x2091
0x2097	0x2110
0x211a	0x2193
0x219d	0x2216
0x2220	0x222f
0x2235	0x2244
0x224a	0x2295
0x2312	0x2321
0x2327	0x2336
0x233c	0x234b
0x2351	0x2371
0x237a	0x23ac
0x23b6	0x23e8
0x23f2	0x2449
0x2455	0x24b7
0x24c1	0x24e1
0x24ea	0x2522
0x252b	0x254b
0x2554	0x2586
0x2590	0x25d5
0x25df	0x2661
0x2686	0x268f
0x2695	0x26e6
0x2702	0x270b
0x2711	0x2722
0x2b6d	0x2b76
0x2b8b	0x2b97
0x2bd9	0x2bee
0x2bf4	0x2c23
0x2c2b	0x2c4d
0x2c54	0x2c6e
0x2c76	0x2c8b
0x2c91	0x2ca6
0x2cac	0x2ce8
0x2cf1	0x2d47
0x2d52	0x2d8e
0x2d97	0x2db1
0x2db9	0x2dd2
0x2dd9	0x2df2
0x2df9	0x2e12
0x2e19	0x2e32
0x2e39	0x2e52
0x2e59	0x2e72
0x2e79	0x2e92
0x2e99	0x2eb2
0x2eb9	0x2ed2
0x2ed9	0x2ef2
0x2ef9	0x2f12
0x2f19	0x2f32
0x2f39	0x2f52
0x2f59	0x2f6e
0x2f74	0x2f96
0x2f9d	0x2fc0
0x30c8	0x30c8
0x30e4	0x30ef
0x30f6	0x30f6
0x3102	0x3102
0x312c	0x312c
0x3136	0x3136
0x3191	0x31a5
0x31a8	0x31bc
0x31bf	0x31d3
0x31d6	0x31ea
0x31ed	0x3201
0x85a	0x3c460
0x1348	0x3c484
0x1a83	0x3c4a8
0x1e6a	0x3c4ca
0x2037	0x3c4ef
0x3143	0x3c517
0x85a	0x3c53c
0x1348	0x3c560
0x1a83	0x3c584
0x1e6a	0x3c5a6
0x2037	0x3c5cb
0x3143	0x3c5f3
0x95f	0xa490x95f
