0x0	0xd
0x60	0x6b
0x3f	0x4a
0xd	0x1e
0x175	0x181
0xdc	0xe8
0x95	0xa1
0x6f	0x7b
0x12e	0x13a
0x234	0x240
0x1ed	0x1f9
0x1c7	0x1d3
0x286	0x292
0x2972	0x2984
0x29c1	0x29d5
0x2884	0x2893
0x2642	0x2654
0x2806	0x2815
0x8e3	0x8ed
0x1efb	0x1f15
0x90d	0x92b
0x9d2	0x9e8
0x9ec	0x9f7
0xa64	0xaaf
0xab0	0xab7
0xadf	0xae5
0xfa6	0xfab
0xff5	0xffa
0x1077	0x1090
0x11ad	0x11fa
0x11fb	0x1202
0x1219	0x122d
0x122e	0x1234
0x124b	0x1257
0x12bf	0x12d5
0x12d9	0x12e4
0x12ed	0x1303
0x1564	0x1580
0x1725	0x1730
0x17d4	0x17d9
0x184d	0x18c2
0x18f0	0x1924
0x18d2	0x18f0
0x1952	0x1972
0x1934	0x1952
0x1973	0x197d
0x1a6a	0x1a70
0x1b02	0x1b07
0x1b37	0x1b42
0x1b59	0x1b77
0x1b8e	0x1b9d
0x1bb4	0x1bed
0x1bf1	0x1bfc
0x1c29	0x1c3a
0x1c51	0x1c88
0x1c8c	0x1c97
0x1cd3	0x1ce9
0x1ced	0x1cf8
0x1db9	0x1dcf
0x1dd3	0x1dde
0x1e5c	0x1e62
0x1f30	0x1f36
0x1f53	0x1f58
0x1e	0x29
0x21de	0x21ea
0x1fc0	0x1fc5
0x2094	0x209a
0x20f0	0x20f6
0x2105	0x210a
0x2991	0x29a9
0x29f1	0x2a08
0x29	0x34
0x2e3	0x2eb
0x319	0x321
0x339	0x341
0x359	0x361
0x379	0x381
0x399	0x3a1
0x3b9	0x3c1
0x3d9	0x3e1
0x3f9	0x401
0x426	0x42e
0x446	0x44e
0x466	0x46e
0x493	0x49b
0x4b3	0x4bb
0x4e3	0x4eb
0x505	0x50d
0x532	0x53a
0x552	0x55a
0x567	0x56f
0x587	0x58f
0x5a7	0x5af
0x5c7	0x5cf
0x5e7	0x5ef
0x607	0x60f
0x61c	0x624
0x631	0x639
0x651	0x659
0x671	0x679
0x691	0x699
0x6b1	0x6b9
0x6d1	0x6d9
0x6e6	0x6ee
0x706	0x70e
0x71b	0x723
0x73b	0x743
0x750	0x758
0x77d	0x785
0x79f	0x7a7
0x7b4	0x7bc
0x7c9	0x7d1
0x7e9	0x7f1
0x809	0x811
0x829	0x831
0x849	0x851
0x871	0x879
0x886	0x88e
0x89b	0x8a3
0x8bb	0x8c3
0x7b	0x86
0x34	0x3f
0x4a	0x55
0x55	0x60
0x86	0x91
0xa1	0xac
0xac	0xb7
0xb7	0xc2
0xc2	0xcd
0xcd	0xd8
0xe8	0xf3
0xf3	0xfe
0xfe	0x109
0x109	0x114
0x114	0x11f
0x11f	0x12a
0x13a	0x145
0x145	0x150
0x150	0x15b
0x15b	0x166
0x166	0x171
0x181	0x18c
0x18c	0x197
0x197	0x1a2
0x1a2	0x1ad
0x1ad	0x1b8
0x1b8	0x1c3
0x1d3	0x1de
0x1de	0x1e9
0x1f9	0x204
0x204	0x20f
0x20f	0x21a
0x21a	0x225
0x225	0x230
0x240	0x24b
0x24b	0x256
0x256	0x261
0x261	0x26c
0x26c	0x277
0x277	0x282
0x292	0x29d
0x29d	0x2a8
0x2a8	0x2b3
0x2b3	0x2be
0x2be	0x2c9
0x2abbB0x21ea	0x2ac4B0x21ea
0x2a9fB0x21ea	0x2aa8B0x21ea
0x1ed8B0x8d0	0x1ee4B0x8d0
0x27caB0x385	0x27d8B0x385
0x2abbB0x419	0x2ac4B0x419
0x2a9fB0x419	0x2aa8B0x419
0x27caB0x49f	0x27d8B0x49f
0x33e9B0x2bfe	0x33f2B0x2bfe
0x2827B0x593	0x2836B0x593
0x2839B0x593	0x284dB0x593
0x27caB0x63d	0x27d8B0x63d
0x27caB0x69d	0x27d8B0x69d
0x2a3cB0x334e	0x2a45B0x334e
0x27caB0x7d5	0x27d8B0x7d5
0x1ed8B0x1b24	0x1ee4B0x1b24
0x1ed8B0x115d	0x1ee4B0x115d
0x27aaB0x1d01	0x27b8B0x1d01
0x27bbB0x1d01	0x27c7B0x1d01
0x33f3B0x2657	0x3404B0x2657
0x33f3B0x2662	0x3404B0x2662
0x33f3B0x2672	0x3404B0x2672
0x341eB0x2896	0x342fB0x2896
0x25baB0x2987	0x25c7B0x2987
0x25baB0x29d8	0x25c7B0x29d8
0x25a3B0x29e2	0x25b6B0x29e2
0x2575B0x2a0b	0x2588B0x2a0b
0x258bB0x2a0b	0x259fB0x2a0b
0x2564B0x2a0b	0x2572B0x2a0b
0x2a3cB0x337e	0x2a45B0x337e
0x33e9B0x339b	0x33f2B0x339b
0x28ceB0x2ef	0x28dcB0x2ef
0x25baB0x28dfB0x2ef	0x25c7B0x28dfB0x2ef
0x2935B0x325	0x2946B0x325
0x25baB0x2949B0x325	0x25c7B0x2949B0x325
0x25a3B0x2953B0x325	0x25b6B0x2953B0x325
0x28ceB0x345	0x28dcB0x345
0x25baB0x28dfB0x345	0x25c7B0x28dfB0x345
0x27e2B0x3a5	0x27f1B0x3a5
0x33f3B0x27f4B0x3a5	0x3404B0x27f4B0x3a5
0x25cbB0x3c5	0x25d9B0x3c5
0x33f3B0x25dcB0x3c5	0x3404B0x25dcB0x3c5
0x27e2B0x3e5	0x27f1B0x3e5
0x33f3B0x27f4B0x3e5	0x3404B0x27f4B0x3e5
0x2850B0x405	0x285fB0x405
0x25a3B0x2862B0x405	0x25b6B0x2862B0x405
0x25baB0x286cB0x405	0x25c7B0x286cB0x405
0x2742B0x452	0x2754B0x452
0x2757B0x452	0x276aB0x452
0x2779B0x452	0x278eB0x452
0x252dB0x276dB0x452	0x2540B0x276dB0x452
0x2543B0x276dB0x452	0x2559B0x276dB0x452
0x251cB0x276dB0x452	0x252aB0x276dB0x452
0x252dB0x2791B0x452	0x2540B0x2791B0x452
0x2543B0x2791B0x452	0x2559B0x2791B0x452
0x251cB0x2791B0x452	0x252aB0x2791B0x452
0x28ceB0x472	0x28dcB0x472
0x25baB0x28dfB0x472	0x25c7B0x28dfB0x472
0x25cbB0x511	0x25d9B0x511
0x33f3B0x25dcB0x511	0x3404B0x25dcB0x511
