0xa5c	0x1f25
0x3b4	0xf88
0x3f4	0x106f
0x1155	0x1fb1
0x155c	0x20e5
0x844	0x1ae4
0x8d8	0x1efb
0xace	0x1f6f
0x3e7e6	0x1ae4
0x7b100	0x1ae4
0x87c7e	0xf88
0x1b2c	0x1efb
0x87e16	0xf88
0x26442a	0x6930
0x25cc2a	0x871
0x25d62a	0x886
0x25e02a	0x89b
0x25ea2a	0x8bb
0x25ae2a	0x829
0x25b82a	0x849
0x25c22a	0x85e
0x25722a	0x77d
0x257c2a	0x79f
0x25862a	0x7b4
0x25902a	0x7c9
0x259a2a	0x7e9
0x25a42a	0x809
0x25362a	0x6d1
0x25402a	0x6e6
0x254a2a	0x706
0x25542a	0x71b
0x255e2a	0x73b
0x25682a	0x750
0x24fa2a	0x61c
0x25042a	0x631
0x250e2a	0x651
0x25182a	0x671
0x25222a	0x691
0x252c2a	0x6b1
0x24d22a	0x5a7
0x24dc2a	0x5c7
0x24e62a	0x5e7
0x24f02a	0x607
0x24b42a	0x552
0x24be2a	0x567
0x24c82a	0x587
0x24782a	0x466
0x24822a	0x493
0x248c2a	0x4b3
0x24962a	0x4e3
0x24a02a	0x505
0x24aa2a	0x532
0x243c2a	0x399
0x24462a	0x3b9
0x24502a	0x3d9
0x245a2a	0x3f9
0x24642a	0x426
0x246e2a	0x446
0x24002a	0x2ce
0x240a2a	0x2e3
0x24142a	0x319
0x241e2a	0x339
0x24282a	0x359
0x24322a	0x379
0x10a70x106f	0x2076
0x10a70x1ae4	0x2076
0x165cB0x628	0x20e5
0x1ec8B0x8c7	0x20e5
0xa49B0x2fe	0x1efb
0x1543B0x582	0xf88
0x154eB0x582	0x106f
0xb61B0x374	0x1fb1
0xde7B0x374	0x1f6f
