0xa5c	0x1f25	0xa64
0x3b4	0xf88	0x3138f
0x3f4	0x106f	0x313d1
0x1155	0x1fb1	0x115d
0x155c	0x20e5	0x1564
0x844	0x1ae4	0x31990
0x8d8	0x1efb	0x8e3
0xace	0x1f6f	0xadf
0x3e7e6	0x1ae4	0x102e
0x7b100	0x1ae4	0x17ff
0x87c7e	0xf88	0x1aa4
0x1b2c	0x1efb	0x1b37
0x87e16	0xf88	0x1e88
0x10a70x106f	0x2076	0x3e83b0x106f
0x10a70x1ae4	0x2076	0x3e83b0x1ae4
0x165cB0x628	0x20e5	0x1664B0x628
0x1ec8B0x8c7	0x20e5	0x1ed0B0x8c7
0xa49B0x2fe	0x1efb	0x31ae8B0x2fe
0x1543B0x582	0xf88	0x154eB0x582
0x154eB0x582	0x106f	0x4b44dB0x582
0xb61B0x374	0x1fb1	0xb69B0x374
0xde7B0x374	0x1f6f	0xdf8B0x374
