0x134d	0x13d4
0x1497	0x1524
0x15bd	0x1625
0x19c2	0x1a49
0x1fdc	0x1fdc
0x1fe0	0x200b
0x2076	0x20a1
0x2279	0x2279
0x26d3	0x2734
0x27ca	0x27db
0x2850	0x287b
0x2935	0x2962
0x2a29	0x2a61
0x2a6c	0x2a6c
0x2b0d	0x2b0d
0x2b26	0x2b26
0x2b3e	0x2b3e
0x2b8f	0x2b8f
0x2b9a	0x2b9a
0x2bf0	0x2bf0
0x2c27	0x2c41
0x2c4a	0x2c8d
0x2f7b	0x2f7b
0xb61	0x3e6d4
0xb61	0x3e6fb
0xf88	0x3e76e
0x10b1	0x3e85e
0x10b1	0x3e885
0x153b	0x4b44d
0x165c	0x57fc0
0x1ec8	0x87e43
0x1ed8	0x87e64
0x1efb	0x87ead
0x1efb	0x87ed1
0x1f25	0x87f22
0x1fb1	0x997d4
0x1fe0	0x9981d
0x204f	0x99840
0x2076	0x99889
0x20e5	0x998d9
0x2295	0xec5b0
0x22b7	0xec5f9
0x22b7	0xec61e
0x2301	0xec643
0x2301	0xec668
0x23c7	0xec68d
0x2445	0xec6b0
0x24de	0xec6d3
0x24e4	0xec6f5
0x24f8	0xec718
0x24fe	0xec73a
0x251c	0xec75d
0x2564	0xec783
0x25a3	0xec7a9
0x25ba	0xec7ce
0x25cb	0xec7f3
0x25ee	0xec819
0x260a	0xec83f
0x2742	0xec8c9
0x27aa	0xec8f4
0x27e2	0xec91a
0x2827	0xec944
0x28e9	0xfe1e0
0x33e9	0x10fa47
0x33f3	0x10fa69
0x3408	0x10fa8b
0x341e	0x10faad
0xb61	0x10faf3
0x10b1	0x10fb1a
0x1531	0x10fb41
0xa49	0x10fed0
0x1478	0x10fef4
0x15ac	0x10ff18
0x16f6	0x10ff3c
0x174c	0x10ff61
0x19ab	0x10ff86
0x1f6f	0x10ffaa
0x2170	0x10ffcf
0x217c	0x10fff4
0x2191	0x110019
0x220a	0x11003d
0x221f	0x110062
0x2692	0x110087
0x28af	0x1100b1
0x28ce	0x1100db
0x2c99	0x110100
0x1689	0x16ed0x1689
0x1781	0x16ed0x1781
0x106f	0x3e83b0x106f
0x1ae4	0x3e83b0x1ae4
