0x2ce	0x5e2ca17
0x2e3	0x83132c4
0x319	0x17f03ce5
0x339	0x1a5ae9ad
0x359	0x1ff013f1
0x379	0x248a9ca3
0x399	0x2f2ff15d
0x3b9	0x320b9006
0x3d9	0x36568abe
0x3f9	0x3ee7094a
0x426	0x4454b20d
0x446	0x4603ae38
0x466	0x4b0b919d
0x493	0x4e056005
0x4b3	0x50598719
0x4e3	0x53ec4105
0x505	0x541d5548
0x532	0x5a1ad87c
0x552	0x5c975abb
0x567	0x5e1fab0f
0x587	0x69a8c246
0x5a7	0x6d70f7ae
0x5c7	0x780cf004
0x5e7	0x7febe63f
0x607	0x802aabe8
0x61c	0x80ae1c28
0x631	0x84db809f
0x651	0x8c0c2631
0x671	0x9010d07c
0x691	0x91c404ac
0x6b1	0x91d14854
0x6d1	0x926d7d7f
0x6e6	0x95b15e98
0x706	0x9d5773e0
0x71b	0x9d82dd63
0x73b	0xa217fddf
0x750	0xa9cf69fa
0x77d	0xbeab7131
0x79f	0xc5b37c22
0x7b4	0xc5ec8970
0x7c9	0xca15c873
0x7e9	0xcb10f215
0x809	0xcdb0f73a
0x829	0xd547741f
0x849	0xd7a9cd79
0x85e	0xf179637c
0x871	0xf5b541a6
0x886	0xf69bd044
0x89b	0xfebce92c
0x8bb	0xffaac0eb
0x6930	0x00000000
