0x1a	0xab
0x25	0x6f
0x6b	0x64a4
0xa7	0x64c8
0xb3	0xfd
0xf9	0x64ec
0x13e	0x146
0x148	0x14f
0x14b	0x573
0x153	0x15c
0x169	0x171
0x173	0x18c
0x17e	0x187
0x188	0x599
0x190	0x199
0x1a6	0x1ae
0x1b0	0x1b7
0x1b3	0x5b1
0x1bb	0x1c4
0x1d1	0x1d9
0x1db	0x1f4
0x1e6	0x1ef
0x1f8	0x201
0x20e	0x216
0x218	0x21f
0x21b	0x6af
0x223	0x22c
0x239	0x241
0x243	0x25c
0x24e	0x257
0x258	0x6d3
0x260	0x269
0x273	0x28c
0x27e	0x287
0x290	0x299
0x2a6	0x2ae
0x2b0	0x2b7
0x2b3	0x850
0x2bb	0x2c4
0x2d1	0x2d9
0x2db	0x2f4
0x2e6	0x2ef
0x2fa	0x302
0x304	0x30b
0x307	0x956
0x30f	0x318
0x325	0x32d
0x32f	0x348
0x33a	0x343
0x34c	0x355
0x362	0x36a
0x36c	0x385
0x377	0x380
0x381	0xa51
0x389	0x392
0x39f	0x3a7
0x3a9	0x3c2
0x3b4	0x3bd
0x3be	0xa830x39b
0x3c6	0x3cf
0x3d9	0x3f2
0x3e4	0x3ed
0x3f6	0x3ff
0x40c	0x414
0x416	0x41d
0x419	0xc21
0x421	0x42a
0x437	0x43f
0x441	0x45a
0x44c	0x455
0x45e	0x467
0x471	0x48a
0x47c	0x485
0x486	0xd3d
0x490	0x498
0x49a	0x4b3
0x4a5	0x4ae
0x4b9	0x4c1
0x4c3	0x4ca
0x4c6	0x1609
0x4ce	0x4d7
0x4e4	0x4ec
0x4ee	0x4f5
0x4f9	0x502
0x50f	0x517
0x519	0x520
0x51c	0x16e1
0x524	0x52d
0x53a	0x542
0x544	0x55d
0x54f	0x558
0x559	0x1707
0x561	0x56a
0x708	0x70f
0x710	0x719
0x836	0x840
0xd3e	0xd45
0xdab	0xde9
0xdd8	0xde0
0xe61	0xe6a
0xe7a	0xe82
0xe89	0xe96
0xeb1	0xeba
0xebe	0xefc
0xeeb	0xef3
0xf04	0x127f
0xf0f	0xfbc
0xf19	0xf1e
0xf47	0xf4c
0xf71	0xfaf
0xf9e	0xfa6
0xfb8	0xf0a
0xfeb	0xff0
0x1003	0x1011
0x1036	0x1040
0x103c	0x2ba2
0x1064	0x1069
