0x0	0xd
0x60	0x6b
0x3f	0x4a
0xd	0x1e
0x2182	0x21a2
0x370d	0x373a
0x24a	0x21c19e
0x139	0x145
0xb6	0xc2
0x7a	0x86
0xfd	0x109
0x1c7	0x1d3
0x18b	0x197
0x20e	0x21a
0x99f	0x9eb
0x4d17	0x4d26
0xd69	0xda9
0x4eb3	0x4ec6
0x29	0x34
0xa18	0xa2b
0x128f	0x129a
0x12e8	0x12f2
0xdd6	0xde9
0xe26	0xe74
0xea1	0xebd
0xefb	0xf14
0x14d2	0x14dc
0xfed	0xffc
0x1339	0x1342
0x1e	0x29
0x1359	0x1365
0x1523	0x152c
0x1551	0x1572
0x1f5a	0x1f63
0x1795	0x179b
0x1d35	0x1d52
0x505d	0x5068
0x1cf6	0x1cff
0x1fa3	0x1fcf
0x1ff5	0x1fff
0x20bb	0x20cb
0x20d2	0x20f0
0x20fc	0x2110
0x2117	0x213f
0x21ed	0x21f5
0x21a9	0x21b8
0x55ba	0x55c2
0x2178	0x2182
0x2917	0x2950
0x36fc	0x370d
0x3763	0x3769
0x3bf3	0x3c13
0x3c6c	0x3c82
0x3c86	0x3c91
0x414c	0x419a
0x426f	0x42bd
0x42ea	0x4342
0x4eca	0x4edd
0x4eed	0x4f02
0x4f13	0x4f24
0x4fbf	0x4fca
0x5606	0x5621
0x55f2	0x5602
0x4a8c	0x4aa7
0x256	0x25e
0x28b	0x293
0x2ad	0x2b5
0x2e3	0x2eb
0x306	0x30e
0x336	0x33e
0x34b	0x353
0x360	0x368
0x375	0x37d
0x395	0x39d
0x3b5	0x3bd
0x3dc	0x3e4
0x3f1	0x3f9
0x413	0x41b
0x42b	0x433
0x440	0x448
0x470	0x478
0x490	0x498
0x4a5	0x4ad
0x4ba	0x4c2
0x4da	0x4e2
0x4ef	0x4f7
0x517	0x51f
0x537	0x53f
0x557	0x55f
0x58d	0x595
0x5a2	0x5aa
0x5b7	0x5bf
0x5cc	0x5d4
0x5ec	0x5f4
0x620	0x628
0x635	0x63d
0x655	0x65d
0x688	0x690
0x6a8	0x6b0
0x6bd	0x6c5
0x6dd	0x6e5
0x6fd	0x705
0x71d	0x725
0x751	0x759
0x4fab	0x4fb9
0x29dd	0x29ed
0x52ea	0x52f6
0x28aa	0x28ea
0x56b0	0x56bf
0x355f	0x3580
0x380e	0x381f
0x34	0x3f
0x584e	0x585c
0x3b78	0x3bc6
0x3d0d	0x3d5b
0x40e7	0x4105
0xe3	0xee
0x3e14	0x3e62
0x420a	0x4228
0x4a	0x55
0x55	0x60
0x6b	0x76
0x86	0x91
0x91	0x9c
0x9c	0xa7
0xa7	0xb2
0xc2	0xcd
0xcd	0xd8
0xd8	0xe3
0xee	0xf9
0x109	0x114
0x114	0x11f
0x11f	0x12a
0x12a	0x135
0x145	0x150
0x150	0x15b
0x15b	0x166
0x166	0x171
0x171	0x17c
0x17c	0x187
0x197	0x1a2
0x1a2	0x1ad
0x1ad	0x1b8
0x1b8	0x1c3
0x1d3	0x1de
0x1de	0x1e9
0x1e9	0x1f4
0x1f4	0x1ff
0x1ff	0x20a
0x21a	0x225
0x225	0x230
0x230	0x23b
0x23b	0x246
0x1cff	0x1d0a
0x3dd10x3d0d	0x3de70x3d0d
0x3dd10x3e14	0x3de70x3e14
0x3dd10x40e7	0x3de70x40e7
0x3dd10x420a	0x3de70x420a
0x37cd0x36ee	0x37e10x36ee
0x37920x36ee	0x37980x36ee
0x4925B0x2b9	0x4933B0x2b9
0x4925B0x312	0x4933B0x312
0x4925B0x44c	0x4933B0x44c
0x1422B0xb09	0x142dB0xb09
0x146dB0xb09	0x1474B0xb09
0x149dB0xb09	0x14b1B0xb09
0x1474B0xb09	0x147cB0xb09
0x4925B0x5d8	0x4933B0x5d8
0x4925B0x6c9	0x4933B0x6c9
0x4925B0x75d	0x4933B0x75d
0x4f7aB0x4f98	0x4f83B0x4f98
0x1807B0x123d	0x1812B0x123d
0x1c3fB0x13e5	0x1c4bB0x13e5
0x1422B0xb3d	0x142dB0xb3d
0x146dB0xb3d	0x1474B0xb3d
0x149dB0xb3d	0x14b1B0xb3d
0x1474B0xb3d	0x147cB0xb3d
0x55a3B0x20a1	0x55b3B0x20a1
0x5294B0x1d11	0x52a7B0x1d11
0x52abB0x1d11	0x52c1B0x1d11
0x52c5B0x1d11	0x52d6B0x1d11
0x4971B0x54d6	0x497aB0x54d6
0x4971B0x54fe	0x497aB0x54fe
0x52fdB0x20b0	0x5309B0x20b0
0x55a3B0x2146	0x55b3B0x2146
0x52fdB0x216a	0x5309B0x216a
0x570dB0x2959	0x571bB0x2959
0x49f2B0x4ee1	0x4a05B0x4ee1
0x4a09B0x4ee1	0x4a20B0x4ee1
0x49e0B0x4ee1	0x49eeB0x4ee1
0x4971B0x5510	0x497aB0x5510
0x48f3B0x5628	0x4904B0x5628
0x48f3B0x5868	0x4904B0x5868
0x48f3B0x5873	0x4904B0x5873
0x48f3B0x588d	0x4904B0x588d
0x4e55B0x58a0	0x4e66B0x58a0
0x4e55B0x58b3	0x4e66B0x58b3
0x48f3B0x58c6	0x4904B0x58c6
0x570dB0x3df00x3d0d	0x571bB0x3df00x3d0d
0x570dB0x3df00x3e14	0x571bB0x3df00x3e14
0x570dB0x3df00x40e7	0x571bB0x3df00x40e7
0x570dB0x3df00x420a	0x571bB0x3df00x420a
0x48d8B0x262	0x48e6B0x262
0x48c0B0x48eaB0x262	0x48d4B0x48eaB0x262
0x4908B0x297	0x4916B0x297
0x48f3B0x491aB0x297	0x4904B0x491aB0x297
0x493eB0x381	0x494dB0x381
0x48f3B0x4951B0x381	0x4904B0x4951B0x381
0x493eB0x3a1	0x494dB0x3a1
0x48f3B0x4951B0x3a1	0x4904B0x4951B0x3a1
0x4908B0x3c1	0x4916B0x3c1
0x48f3B0x491aB0x3c1	0x4904B0x491aB0x3c1
0x4908B0x4c6	0x4916B0x4c6
0x48f3B0x491aB0x4c6	0x4904B0x491aB0x4c6
0x1cc4B0xb92B0x532	0x1cd4B0xb92B0x532
0x493eB0x543	0x494dB0x543
0x48f3B0x4951B0x543	0x4904B0x4951B0x543
0x4908B0x563	0x4916B0x563
0x48f3B0x491aB0x563	0x4904B0x491aB0x563
