0x256	0x1ffc9a7
0x28b	0xb3448a8
0x2ad	0xe03e490
0x2e3	0xff53ba7
0x306	0x248a9ca3
0x336	0x2b385bcf
0x34b	0x2d07ae69
0x360	0x2ee63e44
0x375	0x2f2ff15d
0x395	0x36568abe
0x3b5	0x3e7e25c1
0x3dc	0x3f4ba83a
0x3f1	0x54fd4d50
0x413	0x5c975abb
0x42b	0x6869cb96
0x440	0x692a34f4
0x470	0x6b750d63
0x490	0x76a3fb3e
0x4a5	0x778c89b9
0x4ba	0x7ecebe00
0x4da	0x8456cb59
0x4ef	0x84b0196e
0x517	0x9010d07c
0x537	0x91d14854
0x557	0x95ad709a
0x58d	0x9ba520ad
0x5a2	0x9bb68c75
0x5b7	0xa217fddf
0x5cc	0xa785ac5a
0x5ec	0xab1efbab
0x620	0xad351f9f
0x635	0xb2e1df72
0x655	0xb4ccca0d
0x675	0xba677db7
0x688	0xbcf4f0a6
0x6a8	0xbeadbe32
0x6bd	0xca15c873
0x6dd	0xd547741f
0x6fd	0xf5887cdd
0x71d	0xf5b541a6
0x751	0xf87cf42b
0x21c1de	0xeeeeeeee
